,Phylum,Class,Order,Family,Genus,Species,Terrain
ASV_69,NA,NA,NA,NA,NA,NA,NA
ASV_70,NA,NA,NA,NA,NA,NA,NA
ASV_71,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_72,NA,NA,NA,NA,NA,NA,NA
ASV_73,NA,NA,NA,NA,NA,NA,NA
ASV_74,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius_sp.,Terrestrial
ASV_75,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Niveomyces,Niveomyces_insectorum,Terrestrial
ASV_76,Arthropoda,Elardia,Arcellinida,Netzeliidae,Cucurbitella,Cucurbitella_mespiliformis,Terrestrial
ASV_77,NA,NA,NA,NA,NA,NA,NA
ASV_78,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_79,NA,NA,NA,NA,NA,NA,NA
ASV_80,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_81,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,uncultured_Flavobacteriaceae_bacterium,Both
ASV_82,NA,NA,NA,NA,NA,NA,NA
ASV_83,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,Neopestalotiopsis_cubana,Terrestrial
ASV_84,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans,Terrestrial
ASV_85,NA,NA,NA,NA,NA,NA,NA
ASV_86,Arthropoda,Insecta,Diptera,Chloropidae,NA,Chloropidae_sp.,Terrestrial
ASV_87,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_marginilacus,Aquatic
ASV_88,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda_sigma,Both
ASV_89,NA,NA,NA,NA,NA,NA,NA
ASV_90,NA,NA,NA,NA,NA,NA,NA
ASV_91,NA,NA,NA,NA,NA,NA,NA
ASV_92,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_93,Arthropoda,Insecta,Siphonaptera,Rhopalopsyllidae,Parapsyllus,Parapsyllus_humboldti,Terrestrial
ASV_94,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Koerneria,Koerneria_sp._RS1982,Terrestrial
ASV_95,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_96,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria_sp.,Both
ASV_97,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_98,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Teratorhabditis,Teratorhabditis_synpapillata,Terrestrial
ASV_99,NA,NA,NA,NA,NA,NA,NA
ASV_100,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_101,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,Phialocephala_sp._SA-2NA14,Terrestrial
ASV_102,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_incrustata,Terrestrial
ASV_103,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_104,NA,NA,NA,NA,NA,NA,NA
ASV_105,Ascomycota,Eurotiomycetes,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium_crateriforme,Terrestrial
ASV_106,NA,NA,NA,NA,NA,NA,NA
ASV_107,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_108,NA,NA,NA,NA,NA,NA,NA
ASV_109,Ascomycota,Insecta,Coleoptera,Curculionidae,Curculio,Curculio_sp._2_ZM-2NA22a,Terrestrial
