ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_9134,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_9135,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B,NA
ASV_9136,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,sp.
ASV_9137,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_9138,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,sanguinis
ASV_9139,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Tunicatimonas,NA
ASV_9140,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
ASV_9141,Bacteria,Chloroflexota,JG30-KF-CM66,NA,NA,NA,NA
ASV_9142,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_9143,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_9144,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
ASV_9145,Bacteria,Actinomycetota,Actinobacteria,Frankiales,NA,NA,NA
ASV_9146,Bacteria,Actinomycetota,Actinobacteria,Frankiales,NA,NA,NA
ASV_9147,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,limnaea
ASV_9148,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV_9149,Bacteria,Cyanobacteriota,Cyanobacteriia,Chloroplast,NA,NA,NA
ASV_9150,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,NA
ASV_9151,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA
ASV_9152,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,NA
ASV_9153,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_9154,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,epidermidis
ASV_9155,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_9156,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA
ASV_9157,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Rudanella,NA
ASV_9158,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
ASV_9159,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,NA
ASV_9160,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_9161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,asaccharolytica
ASV_9162,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV_9163,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfocapsa,NA
ASV_9164,Bacteria,Myxococcota,Polyangiia,Polyangiales,Sandaracinaceae,NA,NA
ASV_9165,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_9166,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,NA
ASV_9167,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,NA
ASV_9168,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV_9169,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,NA
ASV_9170,Bacteria,Armatimonadota,NA,NA,NA,NA,NA
ASV_9171,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
ASV_9172,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_9173,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,A4b,NA,NA
ASV_9174,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,DEV007,NA,NA
ASV_9175,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rubritepida,NA
ASV_9176,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,NA
ASV_9177,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Siphonobacter,NA
ASV_9178,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Phormidium CYN64,NA
ASV_9179,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,NA
ASV_9180,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
ASV_9181,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Arsenicitalea,NA
ASV_9182,Bacteria,NA,NA,NA,NA,NA,NA
ASV_9183,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV_9184,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,NA
ASV_9185,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASV_9186,Bacteria,Chloroflexota,OLB14,NA,NA,NA,NA
ASV_9187,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_9188,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,sp.
ASV_9189,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Planctopirus,NA
ASV_9190,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
ASV_9191,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
ASV_9192,Bacteria,Planctomycetota,Planctomycetes,NA,NA,NA,NA
ASV_9193,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV_9194,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,NA,NA
ASV_9195,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,NA
ASV_9196,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,NA,NA
ASV_9197,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,NA,NA
ASV_9198,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,NA
